,category,word,year
0,care+,safe,1800
1,care+,safe,1810
2,care+,safe,1820
3,care+,safe,1830
4,care+,safe,1840
5,care+,safe,1850
6,care+,safe,1860
7,care+,safe,1870
8,care+,safe,1880
9,care+,safe,1890
10,care+,safe,1900
11,care+,safe,1910
12,care+,safe,1920
13,care+,safe,1930
14,care+,safe,1940
15,care+,safe,1950
16,care+,safe,1960
17,care+,safe,1970
18,care+,safe,1980
19,care+,safe,1990
20,care+,peace,1800
21,care+,peace,1810
22,care+,peace,1820
23,care+,peace,1830
24,care+,peace,1840
25,care+,peace,1850
26,care+,peace,1860
27,care+,peace,1870
28,care+,peace,1880
29,care+,peace,1890
30,care+,peace,1900
31,care+,peace,1910
32,care+,peace,1920
33,care+,peace,1930
34,care+,peace,1940
35,care+,peace,1950
36,care+,peace,1960
37,care+,peace,1970
38,care+,peace,1980
39,care+,peace,1990
40,care+,compassionate,1800
41,care+,compassionate,1810
42,care+,compassionate,1820
43,care+,compassionate,1830
44,care+,compassionate,1840
45,care+,compassionate,1850
46,care+,compassionate,1860
47,care+,compassionate,1870
48,care+,compassionate,1880
49,care+,compassionate,1890
50,care+,compassionate,1900
51,care+,compassionate,1910
52,care+,compassionate,1920
53,care+,compassionate,1930
54,care+,compassionate,1940
55,care+,compassionate,1950
56,care+,compassionate,1960
57,care+,compassionate,1970
58,care+,compassionate,1980
59,care+,compassionate,1990
60,care+,compassion,1800
61,care+,compassion,1810
62,care+,compassion,1820
63,care+,compassion,1830
64,care+,compassion,1840
65,care+,compassion,1850
66,care+,compassion,1860
67,care+,compassion,1870
68,care+,compassion,1880
69,care+,compassion,1890
70,care+,compassion,1900
71,care+,compassion,1910
72,care+,compassion,1920
73,care+,compassion,1930
74,care+,compassion,1940
75,care+,compassion,1950
76,care+,compassion,1960
77,care+,compassion,1970
78,care+,compassion,1980
79,care+,compassion,1990
80,care+,sympathy,1800
81,care+,sympathy,1810
82,care+,sympathy,1820
83,care+,sympathy,1830
84,care+,sympathy,1840
85,care+,sympathy,1850
86,care+,sympathy,1860
87,care+,sympathy,1870
88,care+,sympathy,1880
89,care+,sympathy,1890
90,care+,sympathy,1900
91,care+,sympathy,1910
92,care+,sympathy,1920
93,care+,sympathy,1930
94,care+,sympathy,1940
95,care+,sympathy,1950
96,care+,sympathy,1960
97,care+,sympathy,1970
98,care+,sympathy,1980
99,care+,sympathy,1990
100,care+,care,1800
101,care+,care,1810
102,care+,care,1820
103,care+,care,1830
104,care+,care,1840
105,care+,care,1850
106,care+,care,1860
107,care+,care,1870
108,care+,care,1880
109,care+,care,1890
110,care+,care,1900
111,care+,care,1910
112,care+,care,1920
113,care+,care,1930
114,care+,care,1940
115,care+,care,1950
116,care+,care,1960
117,care+,care,1970
118,care+,care,1980
119,care+,care,1990
120,care+,protect,1800
121,care+,protect,1810
122,care+,protect,1820
123,care+,protect,1830
124,care+,protect,1840
125,care+,protect,1850
126,care+,protect,1860
127,care+,protect,1870
128,care+,protect,1880
129,care+,protect,1890
130,care+,protect,1900
131,care+,protect,1910
132,care+,protect,1920
133,care+,protect,1930
134,care+,protect,1940
135,care+,protect,1950
136,care+,protect,1960
137,care+,protect,1970
138,care+,protect,1980
139,care+,protect,1990
140,care+,protector,1800
141,care+,protector,1810
142,care+,protector,1820
143,care+,protector,1830
144,care+,protector,1840
145,care+,protector,1850
146,care+,protector,1860
147,care+,protector,1870
148,care+,protector,1880
149,care+,protector,1890
150,care+,protector,1900
151,care+,protector,1910
152,care+,protector,1920
153,care+,protector,1930
154,care+,protector,1940
155,care+,protector,1950
156,care+,protector,1960
157,care+,protector,1970
158,care+,protector,1980
159,care+,protector,1990
160,care+,protection,1800
161,care+,protection,1810
162,care+,protection,1820
163,care+,protection,1830
164,care+,protection,1840
165,care+,protection,1850
166,care+,protection,1860
167,care+,protection,1870
168,care+,protection,1880
169,care+,protection,1890
170,care+,protection,1900
171,care+,protection,1910
172,care+,protection,1920
173,care+,protection,1930
174,care+,protection,1940
175,care+,protection,1950
176,care+,protection,1960
177,care+,protection,1970
178,care+,protection,1980
179,care+,protection,1990
180,care+,shield,1800
181,care+,shield,1810
182,care+,shield,1820
183,care+,shield,1830
184,care+,shield,1840
185,care+,shield,1850
186,care+,shield,1860
187,care+,shield,1870
188,care+,shield,1880
189,care+,shield,1890
190,care+,shield,1900
191,care+,shield,1910
192,care+,shield,1920
193,care+,shield,1930
194,care+,shield,1940
195,care+,shield,1950
196,care+,shield,1960
197,care+,shield,1970
198,care+,shield,1980
199,care+,shield,1990
200,care+,shelter,1800
201,care+,shelter,1810
202,care+,shelter,1820
203,care+,shelter,1830
204,care+,shelter,1840
205,care+,shelter,1850
206,care+,shelter,1860
207,care+,shelter,1870
208,care+,shelter,1880
209,care+,shelter,1890
210,care+,shelter,1900
211,care+,shelter,1910
212,care+,shelter,1920
213,care+,shelter,1930
214,care+,shelter,1940
215,care+,shelter,1950
216,care+,shelter,1960
217,care+,shelter,1970
218,care+,shelter,1980
219,care+,shelter,1990
220,care+,amity,1800
221,care+,amity,1810
222,care+,amity,1820
223,care+,amity,1830
224,care+,amity,1840
225,care+,amity,1850
226,care+,amity,1860
227,care+,amity,1870
228,care+,amity,1880
229,care+,amity,1890
230,care+,amity,1900
231,care+,amity,1910
232,care+,amity,1920
233,care+,amity,1930
234,care+,amity,1940
235,care+,amity,1950
236,care+,amity,1960
237,care+,amity,1970
238,care+,amity,1980
239,care+,amity,1990
240,care+,secure,1800
241,care+,secure,1810
242,care+,secure,1820
243,care+,secure,1830
244,care+,secure,1840
245,care+,secure,1850
246,care+,secure,1860
247,care+,secure,1870
248,care+,secure,1880
249,care+,secure,1890
250,care+,secure,1900
251,care+,secure,1910
252,care+,secure,1920
253,care+,secure,1930
254,care+,secure,1940
255,care+,secure,1950
256,care+,secure,1960
257,care+,secure,1970
258,care+,secure,1980
259,care+,secure,1990
260,care+,benefit,1800
261,care+,benefit,1810
262,care+,benefit,1820
263,care+,benefit,1830
264,care+,benefit,1840
265,care+,benefit,1850
266,care+,benefit,1860
267,care+,benefit,1870
268,care+,benefit,1880
269,care+,benefit,1890
270,care+,benefit,1900
271,care+,benefit,1910
272,care+,benefit,1920
273,care+,benefit,1930
274,care+,benefit,1940
275,care+,benefit,1950
276,care+,benefit,1960
277,care+,benefit,1970
278,care+,benefit,1980
279,care+,benefit,1990
280,care+,defend,1800
281,care+,defend,1810
282,care+,defend,1820
283,care+,defend,1830
284,care+,defend,1840
285,care+,defend,1850
286,care+,defend,1860
287,care+,defend,1870
288,care+,defend,1880
289,care+,defend,1890
290,care+,defend,1900
291,care+,defend,1910
292,care+,defend,1920
293,care+,defend,1930
294,care+,defend,1940
295,care+,defend,1950
296,care+,defend,1960
297,care+,defend,1970
298,care+,defend,1980
299,care+,defend,1990
300,care+,defender,1800
301,care+,defender,1810
302,care+,defender,1820
303,care+,defender,1830
304,care+,defender,1840
305,care+,defender,1850
306,care+,defender,1860
307,care+,defender,1870
308,care+,defender,1880
309,care+,defender,1890
310,care+,defender,1900
311,care+,defender,1910
312,care+,defender,1920
313,care+,defender,1930
314,care+,defender,1940
315,care+,defender,1950
316,care+,defender,1960
317,care+,defender,1970
318,care+,defender,1980
319,care+,defender,1990
320,care+,defence,1800
321,care+,defence,1810
322,care+,defence,1820
323,care+,defence,1830
324,care+,defence,1840
325,care+,defence,1850
326,care+,defence,1860
327,care+,defence,1870
328,care+,defence,1880
329,care+,defence,1890
330,care+,defence,1900
331,care+,defence,1910
332,care+,defence,1920
333,care+,defence,1930
334,care+,defence,1940
335,care+,defence,1950
336,care+,defence,1960
337,care+,defence,1970
338,care+,defence,1980
339,care+,defence,1990
340,care+,guard,1800
341,care+,guard,1810
342,care+,guard,1820
343,care+,guard,1830
344,care+,guard,1840
345,care+,guard,1850
346,care+,guard,1860
347,care+,guard,1870
348,care+,guard,1880
349,care+,guard,1890
350,care+,guard,1900
351,care+,guard,1910
352,care+,guard,1920
353,care+,guard,1930
354,care+,guard,1940
355,care+,guard,1950
356,care+,guard,1960
357,care+,guard,1970
358,care+,guard,1980
359,care+,guard,1990
360,sanctity+,preserve,1800
361,sanctity+,preserve,1810
362,sanctity+,preserve,1820
363,sanctity+,preserve,1830
364,sanctity+,preserve,1840
365,sanctity+,preserve,1850
366,sanctity+,preserve,1860
367,sanctity+,preserve,1870
368,sanctity+,preserve,1880
369,sanctity+,preserve,1890
370,sanctity+,preserve,1900
371,sanctity+,preserve,1910
372,sanctity+,preserve,1920
373,sanctity+,preserve,1930
374,sanctity+,preserve,1940
375,sanctity+,preserve,1950
376,sanctity+,preserve,1960
377,sanctity+,preserve,1970
378,sanctity+,preserve,1980
379,sanctity+,preserve,1990
380,fairness+,fair,1800
381,fairness+,fair,1810
382,fairness+,fair,1820
383,fairness+,fair,1830
384,fairness+,fair,1840
385,fairness+,fair,1850
386,fairness+,fair,1860
387,fairness+,fair,1870
388,fairness+,fair,1880
389,fairness+,fair,1890
390,fairness+,fair,1900
391,fairness+,fair,1910
392,fairness+,fair,1920
393,fairness+,fair,1930
394,fairness+,fair,1940
395,fairness+,fair,1950
396,fairness+,fair,1960
397,fairness+,fair,1970
398,fairness+,fair,1980
399,fairness+,fair,1990
400,fairness+,fairly,1800
401,fairness+,fairly,1810
402,fairness+,fairly,1820
403,fairness+,fairly,1830
404,fairness+,fairly,1840
405,fairness+,fairly,1850
406,fairness+,fairly,1860
407,fairness+,fairly,1870
408,fairness+,fairly,1880
409,fairness+,fairly,1890
410,fairness+,fairly,1900
411,fairness+,fairly,1910
412,fairness+,fairly,1920
413,fairness+,fairly,1930
414,fairness+,fairly,1940
415,fairness+,fairly,1950
416,fairness+,fairly,1960
417,fairness+,fairly,1970
418,fairness+,fairly,1980
419,fairness+,fairly,1990
420,fairness+,equal,1800
421,fairness+,equal,1810
422,fairness+,equal,1820
423,fairness+,equal,1830
424,fairness+,equal,1840
425,fairness+,equal,1850
426,fairness+,equal,1860
427,fairness+,equal,1870
428,fairness+,equal,1880
429,fairness+,equal,1890
430,fairness+,equal,1900
431,fairness+,equal,1910
432,fairness+,equal,1920
433,fairness+,equal,1930
434,fairness+,equal,1940
435,fairness+,equal,1950
436,fairness+,equal,1960
437,fairness+,equal,1970
438,fairness+,equal,1980
439,fairness+,equal,1990
440,fairness+,justice,1800
441,fairness+,justice,1810
442,fairness+,justice,1820
443,fairness+,justice,1830
444,fairness+,justice,1840
445,fairness+,justice,1850
446,fairness+,justice,1860
447,fairness+,justice,1870
448,fairness+,justice,1880
449,fairness+,justice,1890
450,fairness+,justice,1900
451,fairness+,justice,1910
452,fairness+,justice,1920
453,fairness+,justice,1930
454,fairness+,justice,1940
455,fairness+,justice,1950
456,fairness+,justice,1960
457,fairness+,justice,1970
458,fairness+,justice,1980
459,fairness+,justice,1990
460,fairness+,justness,1800
461,fairness+,justness,1810
462,fairness+,justness,1820
463,fairness+,justness,1830
464,fairness+,justness,1840
465,fairness+,justness,1850
466,fairness+,justness,1860
467,fairness+,justness,1870
468,fairness+,justness,1880
469,fairness+,justness,1890
470,fairness+,justness,1900
471,fairness+,justness,1910
472,fairness+,justness,1920
473,fairness+,justness,1930
474,fairness+,justness,1940
475,fairness+,justness,1950
476,fairness+,justness,1960
477,fairness+,justness,1970
478,fairness+,justness,1980
479,fairness+,justness,1990
480,fairness+,justification,1800
481,fairness+,justification,1810
482,fairness+,justification,1820
483,fairness+,justification,1830
484,fairness+,justification,1840
485,fairness+,justification,1850
486,fairness+,justification,1860
487,fairness+,justification,1870
488,fairness+,justification,1880
489,fairness+,justification,1890
490,fairness+,justification,1900
491,fairness+,justification,1910
492,fairness+,justification,1920
493,fairness+,justification,1930
494,fairness+,justification,1940
495,fairness+,justification,1950
496,fairness+,justification,1960
497,fairness+,justification,1970
498,fairness+,justification,1980
499,fairness+,justification,1990
500,fairness+,justifies,1800
501,fairness+,justifies,1810
502,fairness+,justifies,1820
503,fairness+,justifies,1830
504,fairness+,justifies,1840
505,fairness+,justifies,1850
506,fairness+,justifies,1860
507,fairness+,justifies,1870
508,fairness+,justifies,1880
509,fairness+,justifies,1890
510,fairness+,justifies,1900
511,fairness+,justifies,1910
512,fairness+,justifies,1920
513,fairness+,justifies,1930
514,fairness+,justifies,1940
515,fairness+,justifies,1950
516,fairness+,justifies,1960
517,fairness+,justifies,1970
518,fairness+,justifies,1980
519,fairness+,justifies,1990
520,fairness+,justifiable,1800
521,fairness+,justifiable,1810
522,fairness+,justifiable,1820
523,fairness+,justifiable,1830
524,fairness+,justifiable,1840
525,fairness+,justifiable,1850
526,fairness+,justifiable,1860
527,fairness+,justifiable,1870
528,fairness+,justifiable,1880
529,fairness+,justifiable,1890
530,fairness+,justifiable,1900
531,fairness+,justifiable,1910
532,fairness+,justifiable,1920
533,fairness+,justifiable,1930
534,fairness+,justifiable,1940
535,fairness+,justifiable,1950
536,fairness+,justifiable,1960
537,fairness+,justifiable,1970
538,fairness+,justifiable,1980
539,fairness+,justifiable,1990
540,fairness+,reciprocal,1800
541,fairness+,reciprocal,1810
542,fairness+,reciprocal,1820
543,fairness+,reciprocal,1830
544,fairness+,reciprocal,1840
545,fairness+,reciprocal,1850
546,fairness+,reciprocal,1860
547,fairness+,reciprocal,1870
548,fairness+,reciprocal,1880
549,fairness+,reciprocal,1890
550,fairness+,reciprocal,1900
551,fairness+,reciprocal,1910
552,fairness+,reciprocal,1920
553,fairness+,reciprocal,1930
554,fairness+,reciprocal,1940
555,fairness+,reciprocal,1950
556,fairness+,reciprocal,1960
557,fairness+,reciprocal,1970
558,fairness+,reciprocal,1980
559,fairness+,reciprocal,1990
560,fairness+,impartiality,1800
561,fairness+,impartiality,1810
562,fairness+,impartiality,1820
563,fairness+,impartiality,1830
564,fairness+,impartiality,1840
565,fairness+,impartiality,1850
566,fairness+,impartiality,1860
567,fairness+,impartiality,1870
568,fairness+,impartiality,1880
569,fairness+,impartiality,1890
570,fairness+,impartiality,1900
571,fairness+,impartiality,1910
572,fairness+,impartiality,1920
573,fairness+,impartiality,1930
574,fairness+,impartiality,1940
575,fairness+,impartiality,1950
576,fairness+,impartiality,1960
577,fairness+,impartiality,1970
578,fairness+,impartiality,1980
579,fairness+,impartiality,1990
580,fairness+,impartial,1800
581,fairness+,impartial,1810
582,fairness+,impartial,1820
583,fairness+,impartial,1830
584,fairness+,impartial,1840
585,fairness+,impartial,1850
586,fairness+,impartial,1860
587,fairness+,impartial,1870
588,fairness+,impartial,1880
589,fairness+,impartial,1890
590,fairness+,impartial,1900
591,fairness+,impartial,1910
592,fairness+,impartial,1920
593,fairness+,impartial,1930
594,fairness+,impartial,1940
595,fairness+,impartial,1950
596,fairness+,impartial,1960
597,fairness+,impartial,1970
598,fairness+,impartial,1980
599,fairness+,impartial,1990
600,fairness+,rights,1800
601,fairness+,rights,1810
602,fairness+,rights,1820
603,fairness+,rights,1830
604,fairness+,rights,1840
605,fairness+,rights,1850
