adoption,adopt,animal,dog,technology,pet,child,shelter,parent,cat,foster,organization,enterprise,birth,care,cloud
ageism,age,old,discrimination,age,adult,aging,society,young,retirement,worker,workplace,atttiude,senior,elderly,sexism
arson,fire,police,crime,murder,investigation,investigator,arrest,country,court,criminal,burn,firefighter,charge,incident,attack
autism,disorder,spectrum,child,utistic,disability,behavior,parent,diagnose,diagnosis,developmental,brain,therapy,intervention,syndrome,study
contraceptives,pregnancy,pill,contraception,oral,woman,birth,hormone,hormonal,pregnant,condom,sex,abortion,menstrual,reproductive,dose
cancer,treatment,disease,patient,cell,breast,tumor,therapy,risk,doctor,blood,diagnose,clinical,study,symptom,surgery
cheating,cheat,cheater,relationship,married,marriage,infidelity,boyfriend,girlfriend,sex,affair,divorce,student,partner,exam
crime,police,criminal,victim,murder,justice,prison,investigation,enforcement,violence,officer,court,criminal,arrest,commit,attorney
drugs,treatment,patient,medication,disease,dose,symptom,prescription,alcohol,therapy,doctor,clinical,medicine,substance,police,addiction
education,student,school,college,teacher,university,degree,educational,learning,program,academic,course,graduate,science,teach,classroom
feminism,woman,feminist,gender,female,male,equality,sex,sexual,movement,politics,man,radical,rape,sexuality,political
euthanasia,suicide,animal,death,assisted,die,patient,suffering,pet,doctor,dog,euthanize,dying,shelter,physician,killing
gambling,casino,gamble,gaming,bet,gambler,addiction,bet,poker,online,sport,machine,slot,betting,illegal,lottery
gangs,police,crime,violence,murder,criminal,drug,prison,victim,arrest,gun,violent,criminal,street,kill,officer
health,care,medical,patient,disease,healthy,hospital,mental,health-care,treatment,clinical,medicine,diet,doctor,insurance,physician
immigration,immigrant,visa,Trump,border,refugee,citizen,illegal,citizenship,status,federal,worker,enforcement,president,foreign,immigrant
marijuana,cannabis,drug,medical,police,possession,pot,smoke,plant,legal,recereational,legalize,weed,substance,patient,dispensary
nuclear,weapon,energy,missile,reactor,military,plant,radiation,war,bomb,threat,president,fuel,radioactive,atomic
porn,sex,sexual,pornography,girl,addiction,shit,gay,fuck,masturbate,film,sexually,watch,adult,woman,internet
stress,anxiety,symptom,muscle,exercise,hormone,pain,mental,brain,diet,disorder,healthy,depression,sleep,blood
suicide,mental,death,depression,kill,die,attack,prevention,illness,police,suicidal,disorder,healthy,commit,murder,bomber
sexism,woman,gender,female,racism,sexist,male,feminist,sexual,feminist,feminism,equality,discrimination,sex,violence,politics
terrorism,terrorist,terrorist,attack,Islamic,threat,terror,Muslim,violence,military,foreign,intelligence,police,security,political,Trump
slavery,slave,African,civil,freedom,war,black,American,labor,sconstitution,black,human,plantation,racial,trafficking,southern
