word,count,frequency
time,436886231,0.2748337571946347
man,247133323,0.18479625934982064
men,191341469,0.1507497244204231
life,230892924,0.14515507516155707
god,136851527,0.14436751462316672
part,202153610,0.14352027045926025
people,245817220,0.1431950534069149
years,228232617,0.13066511270460204
state,202570404,0.12351924210288812
day,166098710,0.12106652709090457
way,207679464,0.11575507074003959
place,146515488,0.11164375980812846
world,183999453,0.10674738147217679
power,149800993,0.10568112857405623
work,197768954,0.10324533666505309
country,121971602,0.10055648756623232
king,86816081,0.09735901979498109
case,164599488,0.09634722703373048
government,163347284,0.0928768410486201
house,125089276,0.09275233105376678
number,167320282,0.08925956806610942
church,95633000,0.08859182520769932
order,139297979,0.08710198014788353
law,133205833,0.08627693256519556
lord,69364843,0.08617511929506276
year,131130017,0.0839053357043845
water,137232085,0.08347393983748251
nature,106419345,0.08219681731225476
war,131768255,0.07504080469170286
system,164789502,0.07441036705886497
things,100041139,0.07330948047608589
nothing,90296056,0.07141659231779098
name,90617132,0.07089747594018826
hand,105763027,0.06802309089240542
body,94187524,0.06756894720755095
death,84866528,0.0672804176889594
point,121439251,0.06707741703027312
course,109869044,0.06706306107240614
mind,79558593,0.06626218289670437
end,109998899,0.06564564152650901
use,122872740,0.06523408166377291
fact,123624282,0.0640635274892147
side,92954838,0.0633663522030801
form,114966707,0.06318261401062107
john,94372959,0.06314416503508553
days,95524423,0.06268096534685212
history,102523186,0.06157577324242497
england,68088717,0.0613557220896094
person,87321982,0.060906982555070335
city,97510450,0.060394992242717806
court,91070502,0.059782911719167414
words,88889254,0.059724382790636035
times,96327849,0.059546247521757335
father,80067243,0.058855065410624394
head,84321245,0.05870461125806827
sir,53973941,0.05809427185749592
land,91265953,0.0572416359058404
thing,66200216,0.05709588080267008
character,62068047,0.056207981697227294
period,99752919,0.055156029428699224
means,70378431,0.054191203282529826
family,97967092,0.053678527448313404
effect,90446609,0.05257174291610708
act,82925608,0.052160774231136985
reason,69774656,0.05194034740765594
matter,79060012,0.051593029828322576
manner,49378217,0.05108273037267973
question,85336620,0.05039197289050085
subject,55891455,0.05031212032234391
interest,88140896,0.05023492649348478
society,89898427,0.04987463870440408
spirit,50445424,0.049862867493104215
word,68755408,0.04972275637776194
heart,59162840,0.049625289239750556
age,80379747,0.04905313327924491
action,86024851,0.04891620747437599
book,89642345,0.04888209863030642
account,58068117,0.04878173346328832
home,94163988,0.04860054226686118
party,82409819,0.04847855168113287
ii,72183003,0.04818597347377164
christ,38469452,0.048087638422977697
kind,70894170,0.048033089316885595
company,90651476,0.04779477297619199
view,79186610,0.047236377918848736
son,55365562,0.047189755442000644
school,108176726,0.04707726801501998
line,85756853,0.04685031902539904
example,107340239,0.046395570425777445
parts,57033752,0.04612002744056085
knowledge,69534113,0.045711794348275984
value,94735446,0.04541283876673802
service,81506051,0.04525411172764375
sense,74446631,0.04474108069327502
letter,56129561,0.044628034997825465
purpose,57513161,0.04420766384747453
night,65270342,0.04414547248412601
force,67499926,0.044088734493677284
love,58842279,0.04391688429857938
london,76323364,0.04385702212464991
york,107518254,0.0438212507161214
truth,46626307,0.043642265921010344
money,70582397,0.043617211263797764
business,84227588,0.0432564496942416
air,71200572,0.04211811206769188
town,51705730,0.04197982097738327
army,52152241,0.04160754719297671
cause,44573610,0.04115659081471133
hands,54397501,0.04064900747101854
position,81857261,0.040643980057268596
chapter,86443808,0.04049838518949764
river,53969859,0.03988810034731408
light,58974106,0.03966070921090344
france,48145025,0.03924214129169447
eyes,62326312,0.03911164230117861
