concept,+,-,1,Country
abortion,17,49,23,United States
abortion,26,26,37,Canada
abortion,27,25,28,Britain
contraceptives,52,7,36,United States
contraceptives,49,4,43,Canada
contraceptives,62,3,32,Britain
divorce,33,22,36,United States
divorce,37,9,47,Canada
divorce,37,9,42,Britain
homosexuality,23,37,35,United States
homosexuality,30,15,35,Canada
homosexuality,36,17,43,Britain
alcohol,32,16,46,United States
alcohol,31,9,57,Canada
alcohol,38,9,47,Britain
extramarital,4,84,10,United States
extramarital,4,76,17,Canada
extramarital,4,76,15,Britain
gambling,25,24,47,United States
gambling,19,23,55,Canada
gambling,22,26,45,Britain
premarital sex,29,30,36,United States
premarital sex,34,15,47,Canada
premarital sex,38,13,44,Britain
