year,instance,kernel_width,predicted_class,true_class,test
1990,safe,0.2537939916059495,+care,+care,categorization
1990,peace,0.2519489195811153,+fairness,+care,categorization
1990,compassion,0.25229950936466994,+care,+care,categorization
1990,sympathy,0.2552756562648412,+care,+care,categorization
1990,care,0.25271664149904566,+care,+care,categorization
1990,caring,0.25366519727962,+care,+care,categorization
1990,protect,0.24759735263162655,+care,+care,categorization
1990,protection,0.2505361765019725,+care,+care,categorization
1990,shield,0.2532344645920593,+care,+care,categorization
1990,shelter,0.24533985817395654,+care,+care,categorization
1990,secure,0.24712147325400846,+care,+care,categorization
1990,benefit,0.2521962374115068,-fairness,+care,categorization
1990,defend,0.2518431450313648,+care,+care,categorization
1990,defender,0.25045069750734067,+loyalty,+care,categorization
1990,guard,0.24968364102617183,-loyalty,+care,categorization
1990,preserve,0.2309974825720536,+sanctity,+care,categorization
1990,fair,0.2500792240038489,+fairness,+fairness,categorization
1990,fairly,0.2490812001199857,+fairness,+fairness,categorization
1990,fairness,0.2500549665523738,+fairness,+fairness,categorization
1990,equal,0.2524366028999912,+fairness,+fairness,categorization
1990,justice,0.24444975395620425,+fairness,+fairness,categorization
1990,justification,0.248681685138462,-fairness,+fairness,categorization
1990,rights,0.2514871882013062,-fairness,+fairness,categorization
1990,equity,0.25278766322489576,+fairness,+fairness,categorization
1990,equivalent,0.2500719349629752,+fairness,+fairness,categorization
1990,tolerant,0.24861572364472803,+fairness,+fairness,categorization
1990,balance,0.24929254638457035,+fairness,+fairness,categorization
1990,reasonable,0.2509712770251659,+fairness,+fairness,categorization
1990,constant,0.24866188369038547,+fairness,+fairness,categorization
1990,honest,0.24904809073944523,+sanctity,+fairness,categorization
1990,nation,0.2501599532825634,+loyalty,+loyalty,categorization
1990,family,0.25545240287553506,+loyalty,+loyalty,categorization
1990,families,0.2535029691655738,+loyalty,+loyalty,categorization
1990,group,0.24854154873988596,+loyalty,+loyalty,categorization
1990,loyal,0.22182863181871534,+authority,+loyalty,categorization
1990,patriot,0.24857450204216944,-loyalty,+loyalty,categorization
1990,communal,0.2501784255467664,+loyalty,+loyalty,categorization
1990,community,0.2581154135125984,+loyalty,+loyalty,categorization
1990,companion,0.25294112095291965,+loyalty,+loyalty,categorization
1990,comrades,0.2479626378918594,-loyalty,+loyalty,categorization
1990,collective,0.24816563149203505,-loyalty,+loyalty,categorization
1990,joint,0.25504557531169747,+loyalty,+loyalty,categorization
1990,unison,0.24679377772026576,-authority,+loyalty,categorization
1990,fellow,0.2542300651378706,+loyalty,+loyalty,categorization
1990,guild,0.2489000086671659,+loyalty,+loyalty,categorization
1990,solidarity,0.25098896863018066,+loyalty,+loyalty,categorization
1990,devote,0.249243918940877,+care,+loyalty,categorization
1990,member,0.24661440077298988,+loyalty,+loyalty,categorization
1990,ally,0.25781047867813645,+loyalty,+loyalty,categorization
1990,preserve,0.2266222024793482,+care,+authority,categorization
1990,loyal,0.21480585192165183,+loyalty,+authority,categorization
1990,obedience,0.2490825663290842,+authority,+authority,categorization
1990,obey,0.25423727657596995,+authority,+authority,categorization
1990,duty,0.25606223403083783,+authority,+authority,categorization
1990,law,0.2552587983040751,+fairness,+authority,categorization
1990,legal,0.2502739541017822,+fairness,+authority,categorization
1990,duties,0.2453928546853998,+authority,+authority,categorization
1990,award,0.24875946497795626,-fairness,+authority,categorization
1990,honor,0.25268688772057896,+sanctity,+authority,categorization
1990,respect,0.24795118564846072,+fairness,+authority,categorization
1990,respectful,0.2511523284553462,+care,+authority,categorization
1990,respected,0.24873318432264968,+loyalty,+authority,categorization
1990,respects,0.2531300967402501,+authority,+authority,categorization
1990,order,0.24774436318770798,+care,+authority,categorization
1990,father,0.25862380380962885,+authority,+authority,categorization
1990,mother,0.2620278820982132,+authority,+authority,categorization
1990,mothers,0.24755880117422377,+loyalty,+authority,categorization
1990,tradition,0.2390453244636107,+sanctity,+authority,categorization
1990,hierarchy,0.24820677542576353,+authority,+authority,categorization
1990,authority,0.25150647233340784,+authority,+authority,categorization
1990,permit,0.23826878259479323,-authority,+authority,categorization
1990,permission,0.25457812927198437,+authority,+authority,categorization
1990,rank,0.2542115861603148,+authority,+authority,categorization
1990,leader,0.24351239949342413,+loyalty,+authority,categorization
1990,lead,0.24342151862958777,-care,+authority,categorization
1990,class,0.2495112092954771,+loyalty,+authority,categorization
1990,position,0.24853018282909958,+care,+authority,categorization
1990,compliance,0.25809806643061806,+authority,+authority,categorization
1990,command,0.2513425338552161,+authority,+authority,categorization
1990,control,0.25218139820548374,+care,+authority,categorization
1990,submission,0.2544575979249796,+authority,+authority,categorization
1990,submit,0.2566203218380701,+authority,+authority,categorization
1990,commit,0.24484133071761702,-care,+authority,categorization
1990,allegiance,0.25270931847036726,+authority,+authority,categorization
1990,serve,0.24790171840615946,+care,+authority,categorization
1990,fear,0.24634272373167634,-sanctity,+authority,categorization
1990,comply,0.261212917386088,+authority,+authority,categorization
1990,preserve,0.23235815520745137,+care,+sanctity,categorization
1990,purity,0.2535349688550161,+sanctity,+sanctity,categorization
