year,instance,kernel_width,predicted_class,true_class,test
1990,safe,2.2056281585607005,-authority,+care,categorization
1990,peace,2.006196886538275,-care,+care,categorization
1990,compassion,2.4853353737598356,-authority,+care,categorization
1990,sympathy,2.4198815664583804,-authority,+care,categorization
1990,care,2.190364258894767,-fairness,+care,categorization
1990,caring,2.3124702082635684,-authority,+care,categorization
1990,protect,2.276236653285369,-authority,+care,categorization
1990,protection,2.470922235250353,-authority,+care,categorization
1990,shield,2.34092037826889,-authority,+care,categorization
1990,shelter,2.5809508488779893,-authority,+care,categorization
1990,secure,2.1297840100186862,-authority,+care,categorization
1990,benefit,2.289735514597875,-fairness,+care,categorization
1990,defend,2.167169723262087,-authority,+care,categorization
1990,defender,2.4395927213620023,-authority,+care,categorization
1990,guard,2.2685996792510816,-authority,+care,categorization
1990,preserve,2.3925752715890938,-authority,+care,categorization
1990,fair,2.756788366397175,-authority,+fairness,categorization
1990,fairly,2.257183989022092,-authority,+fairness,categorization
1990,fairness,2.394954022403462,-authority,+fairness,categorization
1990,equal,2.3254099039095264,-authority,+fairness,categorization
1990,justice,2.1718457692457473,+fairness,+fairness,categorization
1990,justification,2.831132284989237,-authority,+fairness,categorization
1990,rights,2.1860677863652844,-sanctity,+fairness,categorization
1990,equity,2.482074519902824,-authority,+fairness,categorization
1990,equivalent,2.154232926304604,-authority,+fairness,categorization
1990,tolerant,2.3993969979894105,-authority,+fairness,categorization
1990,balance,2.206263408546253,-authority,+fairness,categorization
1990,reasonable,2.3306542898956817,-authority,+fairness,categorization
1990,constant,2.2320010189030155,-authority,+fairness,categorization
1990,honest,2.267992089775595,-sanctity,+fairness,categorization
1990,nation,2.3760450288000947,+care,+loyalty,categorization
1990,family,2.6307106862610627,+loyalty,+loyalty,categorization
1990,families,2.2502033763418026,-authority,+loyalty,categorization
1990,group,2.123230650378917,-authority,+loyalty,categorization
1990,loyal,2.479857522332466,-authority,+loyalty,categorization
1990,patriot,2.2669735665089865,-authority,+loyalty,categorization
1990,communal,2.314940059728737,-authority,+loyalty,categorization
1990,community,2.270370429620087,-authority,+loyalty,categorization
1990,companion,2.348259362840307,-authority,+loyalty,categorization
1990,comrades,2.519648821260414,-authority,+loyalty,categorization
1990,collective,2.4372746042319604,-authority,+loyalty,categorization
1990,joint,2.7925916126992174,-authority,+loyalty,categorization
1990,unison,2.292497298623673,-authority,+loyalty,categorization
1990,fellow,2.4719856598300445,-authority,+loyalty,categorization
1990,guild,2.5712977375690134,-authority,+loyalty,categorization
1990,solidarity,2.301206032175661,-authority,+loyalty,categorization
1990,devote,2.2657151686180605,-authority,+loyalty,categorization
1990,member,2.299601562051969,-fairness,+loyalty,categorization
1990,ally,2.2707566877136185,-authority,+loyalty,categorization
1990,preserve,2.1988618120811516,-authority,+authority,categorization
1990,loyal,2.1233076983317014,-authority,+authority,categorization
1990,obedience,2.256453210083789,-authority,+authority,categorization
1990,obey,2.247226762716594,-authority,+authority,categorization
1990,duty,2.17343817944247,-sanctity,+authority,categorization
1990,law,2.12572075640646,+fairness,+authority,categorization
1990,legal,2.1251163062691334,-authority,+authority,categorization
1990,duties,2.35535067125407,-fairness,+authority,categorization
1990,award,2.1290307617010873,-authority,+authority,categorization
1990,honor,2.2853924970555073,-authority,+authority,categorization
1990,respect,2.260140096430725,-fairness,+authority,categorization
1990,respectful,2.244406294305101,-authority,+authority,categorization
1990,respected,2.205703402600182,-authority,+authority,categorization
1990,respects,2.3204564216977532,-authority,+authority,categorization
1990,order,2.5402001419066917,+care,+authority,categorization
1990,father,3.308402573811165,+authority,+authority,categorization
1990,mother,3.0509357578305134,-sanctity,+authority,categorization
1990,mothers,2.2343999024452845,-authority,+authority,categorization
1990,tradition,2.3393860246790097,-authority,+authority,categorization
1990,hierarchy,2.319259426296887,-authority,+authority,categorization
1990,authority,2.14234999198633,+care,+authority,categorization
1990,permit,2.1649579227814986,-authority,+authority,categorization
1990,permission,2.1445488454155086,-authority,+authority,categorization
1990,rank,2.4501752157976724,-fairness,+authority,categorization
1990,leader,2.4926857126804234,-authority,+authority,categorization
1990,lead,2.2864502535737525,-authority,+authority,categorization
1990,class,2.336310046506601,-authority,+authority,categorization
1990,position,2.327044035119666,-authority,+authority,categorization
1990,compliance,2.482430863153559,-authority,+authority,categorization
1990,command,2.393360163457037,+care,+authority,categorization
1990,control,2.31950481056923,-authority,+authority,categorization
1990,submission,2.208262185249714,-authority,+authority,categorization
1990,submit,2.500958758312322,-authority,+authority,categorization
1990,commit,2.385449839284425,-authority,+authority,categorization
1990,allegiance,2.280082257576795,-authority,+authority,categorization
1990,serve,2.312158740308167,-authority,+authority,categorization
1990,fear,2.1690487205326567,-sanctity,+authority,categorization
1990,comply,2.141756633849111,-authority,+authority,categorization
1990,preserve,2.568445087116264,-authority,+sanctity,categorization
1990,purity,2.1660821314573426,-authority,+sanctity,categorization
1990,pure,2.229780633668092,-authority,+sanctity,categorization
1990,clean,2.1354310593363377,-authority,+sanctity,categorization
1990,sacred,2.2372765467258855,-authority,+sanctity,categorization
1990,holy,2.274720080674709,+sanctity,+sanctity,categorization
1990,saint,2.446361952599847,-authority,+sanctity,categorization
1990,virgin,2.6165328821314247,-authority,+sanctity,categorization
1990,integrity,2.349840441562103,-authority,+sanctity,categorization
1990,modesty,2.2214580924164515,-authority,+sanctity,categorization
1990,upright,2.220138628534693,-authority,+sanctity,categorization
1990,maiden,2.2679028518192275,-authority,+sanctity,categorization
1990,refined,2.158479261433385,-authority,+sanctity,categorization
1990,decent,2.197626719964705,-authority,+sanctity,categorization
1990,decency,2.4320513366448067,-authority,+sanctity,categorization
1990,innocent,2.362890291093054,-authority,+sanctity,categorization
1990,church,2.2467383757632073,+loyalty,+sanctity,categorization
1990,harm,2.2758680288522615,-authority,-care,categorization
1990,suffer,2.1859867058776965,-authority,-care,categorization
1990,war,2.0539144460825853,+care,-care,categorization
1990,wars,2.3914600271884527,-authority,-care,categorization
1990,fight,2.3627461449436398,-authority,-care,categorization
1990,battle,2.3129274970469536,+care,-care,categorization
1990,violence,2.3997547088156304,-fairness,-care,categorization
1990,violent,2.1476958073222887,-authority,-care,categorization
1990,hurt,2.2949034540075597,-authority,-care,categorization
1990,kill,2.559722565465904,-authority,-care,categorization
1990,kills,2.444946703038054,-authority,-care,categorization
1990,killed,2.14004936795854,-authority,-care,categorization
1990,killing,2.235382945526501,-authority,-care,categorization
1990,cruel,2.283861891640821,-authority,-care,categorization
1990,brutal,2.3378240220476165,-authority,-care,categorization
1990,abuse,2.2380642188186624,-authority,-care,categorization
1990,damage,2.1745705542181213,-authority,-care,categorization
1990,ruin,2.2609081685052317,-authority,-care,categorization
1990,crush,2.274778517887075,-authority,-care,categorization
1990,attack,2.3437859661445133,-authority,-care,categorization
1990,destroy,2.343227481081091,-authority,-care,categorization
1990,abandon,2.247204723041866,-authority,-care,categorization
1990,exploit,2.17021441732341,-authority,-care,categorization
1990,exploited,2.397345462742974,-authority,-care,categorization
1990,wound,2.3471107474012993,-authority,-care,categorization
1990,unfair,2.2442500669450305,-authority,-fairness,categorization
1990,bias,2.3295165954457646,-authority,-fairness,categorization
1990,injustice,2.167988690725132,-authority,-fairness,categorization
1990,discrimination,2.3724536408539287,-authority,-fairness,categorization
1990,prejudice,2.6212861165876093,-authority,-fairness,categorization
1990,preference,2.221815983429352,-authority,-fairness,categorization
1990,exclusion,2.1673155543740137,-authority,-fairness,categorization
1990,exclusive,2.3296486620551793,-authority,-fairness,categorization
1990,exclude,2.49083106669762,-authority,-fairness,categorization
1990,abandon,2.4564257657401134,-authority,-loyalty,categorization
1990,foreign,2.128686443238424,-authority,-loyalty,categorization
1990,enemy,2.249820062229736,-loyalty,-loyalty,categorization
1990,betray,2.659151431028937,-authority,-loyalty,categorization
1990,individual,2.1380989931333367,-authority,-loyalty,categorization
1990,deserted,2.4060587362368206,-authority,-loyalty,categorization
1990,desert,2.5201490755286615,-authority,-loyalty,categorization
1990,deception,2.4154688770963237,-authority,-loyalty,categorization
1990,spy,2.1758422074371286,-authority,-loyalty,categorization
1990,betray,2.4062092827180495,-authority,-authority,categorization
1990,deserted,2.3029798048353265,-authority,-authority,categorization
1990,desert,2.35915264184096,-authority,-authority,categorization
1990,defiance,2.2489988354731114,-authority,-authority,categorization
1990,rebel,2.660868426351377,-authority,-authority,categorization
1990,dissent,2.2964591612755734,-authority,-authority,categorization
1990,agitated,2.182955539949878,-authority,-authority,categorization
1990,illegal,2.331550278036985,-authority,-authority,categorization
1990,oppose,2.3142147295095903,-authority,-authority,categorization
1990,protest,2.152518977533016,-authority,-authority,categorization
1990,refuse,2.5519062101901997,-authority,-authority,categorization
1990,riot,2.2343962563916584,-authority,-authority,categorization
1990,ruin,2.231039733965045,-authority,-sanctity,categorization
1990,exploit,2.2050711625128763,-authority,-sanctity,categorization
1990,exploited,2.4619602232074262,-authority,-sanctity,categorization
1990,disgust,2.34281180955419,-authority,-sanctity,categorization
1990,corruption,2.418465812752969,-authority,-sanctity,categorization
1990,disease,2.218337333431677,-authority,-sanctity,categorization
1990,dirt,2.2058334195081883,-authority,-sanctity,categorization
1990,sin,2.421808373793344,-sanctity,-sanctity,categorization
1990,sins,2.1627862190792566,-authority,-sanctity,categorization
1990,whore,2.790424655211299,-authority,-sanctity,categorization
1990,gross,2.429737688668199,-authority,-sanctity,categorization
1990,sick,2.2976271493162987,-authority,-sanctity,categorization
1990,stain,2.414899021259294,-authority,-sanctity,categorization
1990,wicked,2.574774531504525,-authority,-sanctity,categorization
1990,wretched,2.234374059797277,-authority,-sanctity,categorization
1990,loosen,0.6683986695741184,neutral,neutral,null_test
1990,cap,0.6942958501598978,neutral,neutral,null_test
1990,ton,0.6744923640940645,neutral,neutral,null_test
1990,circumstance,1.2857349947160892,neutral,neutral,null_test
1990,manufacturing,1.521622851317365,neutral,neutral,null_test
1990,manufacture,1.1067187726556347,neutral,neutral,null_test
1990,hose,0.6971861078747921,neutral,neutral,null_test
1990,platform,0.987993725736515,neutral,neutral,null_test
1990,mat,1.6395229878043573,neutral,neutral,null_test
1990,auto,0.6738808767180128,neutral,neutral,null_test
1990,franchise,1.203940070702361,neutral,neutral,null_test
1990,spur,0.6604976817302961,neutral,neutral,null_test
1990,ballistic,1.6088917129292986,neutral,neutral,null_test
1990,vertical,1.6203664018494008,neutral,neutral,null_test
1990,horn,1.4148902457364718,neutral,neutral,null_test
1990,beaver,1.1359973934986944,neutral,neutral,null_test
1990,analyst,0.6870668901428159,neutral,neutral,null_test
1990,reservation,1.4765086395300886,neutral,neutral,null_test
1990,eleven,1.2981414707909402,neutral,neutral,null_test
1990,yen,0.6716205630230928,neutral,neutral,null_test
1990,net,1.6605384548776958,neutral,neutral,null_test
1990,credit,0.6678635315312348,neutral,neutral,null_test
1990,minister,0.6588750041577822,neutral,neutral,null_test
1990,retail,1.6599623955534466,neutral,neutral,null_test
1990,seal,0.6872635685005336,neutral,neutral,null_test
1990,rotation,0.6905954314550387,neutral,neutral,null_test
1990,forge,1.573095516665979,neutral,neutral,null_test
1990,acquisition,0.6628353877570232,neutral,neutral,null_test
1990,surge,1.4720460555724315,neutral,neutral,null_test
1990,indication,0.6688483176430817,neutral,neutral,null_test
1990,vent,0.8561184133935992,neutral,neutral,null_test
1990,forty,1.1748518554542489,neutral,neutral,null_test
1990,testament,1.4672081333069813,neutral,neutral,null_test
1990,milky,1.2499675657226694,neutral,neutral,null_test
1990,treatment,0.6689718375963131,neutral,neutral,null_test
1990,customary,1.526332188530074,neutral,neutral,null_test
1990,pork,1.6091641719329,neutral,neutral,null_test
1990,bar,1.4860871706878185,neutral,neutral,null_test
1990,psyche,0.9684635347349947,neutral,neutral,null_test
1990,multitude,0.6871768743272995,neutral,neutral,null_test
1990,pace,0.6595435980932054,neutral,neutral,null_test
1990,column,0.662002052732259,neutral,neutral,null_test
1990,context,1.3783109597176564,neutral,neutral,null_test
1990,textbook,1.6950398741890782,neutral,neutral,null_test
1990,strand,1.5068031345681796,neutral,neutral,null_test
1990,sill,1.3568753872378654,neutral,neutral,null_test
1990,machine,1.6983448035079869,neutral,neutral,null_test
1990,shout,1.6317713828854734,neutral,neutral,null_test
1990,extension,1.2854870454902299,neutral,neutral,null_test
1990,ruler,0.6662643168949706,neutral,neutral,null_test
1990,depend,0.6675975533041048,neutral,neutral,null_test
1990,invisible,1.3510815831508296,neutral,neutral,null_test
1990,rug,0.6672385924499832,neutral,neutral,null_test
1990,sophomore,0.6813397060322323,neutral,neutral,null_test
1990,technical,0.6858653771612888,neutral,neutral,null_test
1990,reduction,0.6721190592369595,neutral,neutral,null_test
1990,project,1.5759265403900997,neutral,neutral,null_test
1990,interstate,1.4507697802552781,neutral,neutral,null_test
1990,episode,0.8908689692948455,neutral,neutral,null_test
1990,widen,1.5490110336916139,neutral,neutral,null_test
1990,insistence,1.6463653825651392,neutral,neutral,null_test
1990,financial,0.6619484300913564,neutral,neutral,null_test
1990,outskirts,0.6677398552447894,neutral,neutral,null_test
1990,convention,0.6676270295647857,neutral,neutral,null_test
1990,principle,1.5532072439529,neutral,neutral,null_test
1990,interviewer,0.6825978969099529,neutral,neutral,null_test
1990,pagan,0.6714139159748391,neutral,neutral,null_test
1990,teeth,0.6712514411349352,neutral,neutral,null_test
1990,chalk,0.6888593834858019,neutral,neutral,null_test
1990,probability,0.648116796876343,neutral,neutral,null_test
1990,pact,1.5025110411522271,neutral,neutral,null_test
1990,semester,1.1913083218212068,neutral,neutral,null_test
1990,multiple,0.6724609131823345,neutral,neutral,null_test
1990,fir,0.7048571824916825,neutral,neutral,null_test
1990,toss,1.4033833850324489,neutral,neutral,null_test
1990,tile,1.370968964780531,neutral,neutral,null_test
1990,observer,0.6756468357721662,neutral,neutral,null_test
1990,trademark,0.6721654671628127,neutral,neutral,null_test
1990,apartments,1.2691250304931136,neutral,neutral,null_test
1990,council,1.6499863481419603,moral,neutral,null_test
1990,undergraduate,0.9122688971849583,neutral,neutral,null_test
1990,stretch,1.4880513211905837,neutral,neutral,null_test
