year,instance,kernel_width,predicted_class,true_class,test
1990,safe,0.2640425317597489,+care,+care,categorization
1990,peace,0.2640425317597489,+care,+care,categorization
1990,compassionate,0.2640425317597489,+sanctity,+care,categorization
1990,compassion,0.2640425317597489,+sanctity,+care,categorization
1990,sympathy,0.2640425317597489,+care,+care,categorization
1990,care,0.2640425317597489,+care,+care,categorization
1990,protect,0.2640425317597489,+care,+care,categorization
1990,protector,0.2640425317597489,+care,+care,categorization
1990,protection,0.2640425317597489,+care,+care,categorization
1990,shield,0.2640425317597489,+care,+care,categorization
1990,shelter,0.2640425317597489,+care,+care,categorization
1990,amity,0.2640425317597489,+care,+care,categorization
1990,secure,0.2640425317597489,+care,+care,categorization
1990,benefit,0.2640425317597489,+fairness,+care,categorization
1990,defend,0.2640425317597489,+care,+care,categorization
1990,defender,0.2640425317597489,+care,+care,categorization
1990,defence,0.2640425317597489,+care,+care,categorization
1990,guard,0.2640425317597489,-loyalty,+care,categorization
1990,preserve,0.2640425317597489,+sanctity,+care,categorization
1990,fair,0.2640425317597489,+fairness,+fairness,categorization
1990,fairly,0.2640425317597489,+fairness,+fairness,categorization
1990,equal,0.2640425317597489,+fairness,+fairness,categorization
1990,justice,0.2640425317597489,+fairness,+fairness,categorization
1990,justness,0.2640425317597489,-sanctity,+fairness,categorization
1990,justification,0.2640425317597489,+fairness,+fairness,categorization
1990,justifies,0.2640425317597489,+fairness,+fairness,categorization
1990,justifiable,0.2640425317597489,+fairness,+fairness,categorization
1990,reciprocal,0.2640425317597489,+fairness,+fairness,categorization
1990,impartiality,0.2640425317597489,+sanctity,+fairness,categorization
1990,impartial,0.2640425317597489,+fairness,+fairness,categorization
1990,rights,0.2640425317597489,+care,+fairness,categorization
1990,equity,0.2640425317597489,+fairness,+fairness,categorization
1990,equivalent,0.2640425317597489,+fairness,+fairness,categorization
1990,balance,0.2640425317597489,+fairness,+fairness,categorization
1990,reasonable,0.2640425317597489,+fairness,+fairness,categorization
1990,constant,0.2640425317597489,+fairness,+fairness,categorization
1990,honest,0.2640425317597489,+fairness,+fairness,categorization
1990,together,0.2640425317597489,+loyalty,+loyalty,categorization
1990,nation,0.2640425317597489,+loyalty,+loyalty,categorization
1990,family,0.2640425317597489,+loyalty,+loyalty,categorization
1990,families,0.2640425317597489,+loyalty,+loyalty,categorization
1990,group,0.2640425317597489,+loyalty,+loyalty,categorization
1990,loyal,0.2640425317597489,+authority,+loyalty,categorization
1990,patriot,0.2640425317597489,-loyalty,+loyalty,categorization
1990,community,0.2640425317597489,+loyalty,+loyalty,categorization
1990,companion,0.2640425317597489,+loyalty,+loyalty,categorization
1990,comrades,0.2640425317597489,-loyalty,+loyalty,categorization
1990,collective,0.2640425317597489,-loyalty,+loyalty,categorization
1990,joint,0.2640425317597489,+loyalty,+loyalty,categorization
1990,unison,0.2640425317597489,-authority,+loyalty,categorization
1990,unite,0.2640425317597489,+loyalty,+loyalty,categorization
1990,fellow,0.2640425317597489,+loyalty,+loyalty,categorization
1990,devote,0.2640425317597489,+authority,+loyalty,categorization
1990,member,0.2640425317597489,+loyalty,+loyalty,categorization
1990,ally,0.2640425317597489,+loyalty,+loyalty,categorization
1990,preserve,0.2640425317597489,+care,+authority,categorization
1990,loyal,0.2640425317597489,+loyalty,+authority,categorization
1990,obedience,0.2640425317597489,+authority,+authority,categorization
1990,obey,0.2640425317597489,+authority,+authority,categorization
1990,obedient,0.2640425317597489,+authority,+authority,categorization
1990,duty,0.2640425317597489,+authority,+authority,categorization
1990,law,0.2640425317597489,+fairness,+authority,categorization
1990,lawful,0.2640425317597489,+fairness,+authority,categorization
1990,legality,0.2640425317597489,+fairness,+authority,categorization
1990,legal,0.2640425317597489,+fairness,+authority,categorization
1990,duties,0.2640425317597489,+authority,+authority,categorization
1990,award,0.2640425317597489,+fairness,+authority,categorization
1990,honor,0.2640425317597489,+sanctity,+authority,categorization
1990,respect,0.2640425317597489,+fairness,+authority,categorization
1990,respectful,0.2640425317597489,+care,+authority,categorization
1990,respected,0.2640425317597489,+loyalty,+authority,categorization
1990,respects,0.2640425317597489,+authority,+authority,categorization
1990,order,0.2640425317597489,+care,+authority,categorization
1990,father,0.2640425317597489,+authority,+authority,categorization
1990,mother,0.2640425317597489,+authority,+authority,categorization
1990,mothers,0.2640425317597489,+loyalty,+authority,categorization
1990,tradition,0.2640425317597489,+sanctity,+authority,categorization
1990,hierarchy,0.2640425317597489,+authority,+authority,categorization
1990,authority,0.2640425317597489,+authority,+authority,categorization
1990,permit,0.2640425317597489,+authority,+authority,categorization
1990,permission,0.2640425317597489,+authority,+authority,categorization
1990,rank,0.2640425317597489,+authority,+authority,categorization
1990,leader,0.2640425317597489,+loyalty,+authority,categorization
