test,average_accuracy,year
polarity,0.9132075471698113,1920
polarity,0.8679245283018868,1800
polarity,0.9056603773584906,1930
polarity,0.8603773584905661,1810
polarity,0.9132075471698113,1940
polarity,0.8830188679245283,1820
polarity,0.8981132075471698,1950
polarity,0.8867924528301887,1830
polarity,0.8830188679245283,1960
polarity,0.8830188679245283,1840
polarity,0.8830188679245283,1970
polarity,0.9018867924528302,1850
polarity,0.9018867924528302,1980
polarity,0.9169811320754717,1860
polarity,0.8754716981132076,1990
polarity,0.8981132075471698,1870
polarity,0.9056603773584906,1880
polarity,0.9207547169811321,1890
polarity,0.8943396226415095,1900
polarity,0.9056603773584906,1910
null_test,0.8320754716981132,1920
null_test,0.8,1800
null_test,0.8320754716981132,1930
null_test,0.8320754716981132,1810
null_test,0.8245283018867925,1940
null_test,0.8207547169811321,1820
null_test,0.8132075471698114,1950
null_test,0.8264150943396227,1830
null_test,0.8132075471698114,1960
null_test,0.8150943396226416,1840
null_test,0.8113207547169812,1970
null_test,0.8245283018867925,1850
null_test,0.8018867924528302,1980
null_test,0.8339622641509434,1860
null_test,0.8056603773584906,1990
null_test,0.8358490566037736,1870
null_test,0.8433962264150944,1880
null_test,0.839622641509434,1890
null_test,0.8301886792452831,1900
null_test,0.8301886792452831,1910
categorization,0.6490566037735849,1920
categorization,0.6415094339622641,1800
categorization,0.6377358490566037,1930
categorization,0.6415094339622641,1810
categorization,0.630188679245283,1940
categorization,0.6226415094339622,1820
categorization,0.6264150943396226,1950
categorization,0.630188679245283,1830
categorization,0.6377358490566037,1960
categorization,0.6679245283018868,1840
categorization,0.6490566037735849,1970
categorization,0.6377358490566037,1850
categorization,0.630188679245283,1980
categorization,0.6226415094339622,1860
categorization,0.6150943396226415,1990
categorization,0.6566037735849056,1870
categorization,0.6754716981132075,1880
categorization,0.6754716981132075,1890
categorization,0.6716981132075471,1900
categorization,0.6377358490566037,1910
