test,average_accuracy,year
polarity,0.8976063829787234,1920
polarity,0.8776595744680851,1800
polarity,0.9082446808510638,1930
polarity,0.8829787234042553,1810
polarity,0.9042553191489362,1940
polarity,0.8829787234042553,1820
polarity,0.8976063829787234,1950
polarity,0.8829787234042553,1830
polarity,0.9069148936170213,1960
polarity,0.886968085106383,1840
polarity,0.9029255319148937,1970
polarity,0.8936170212765957,1850
polarity,0.8949468085106383,1980
polarity,0.8976063829787234,1860
polarity,0.8789893617021277,1990
polarity,0.901595744680851,1870
polarity,0.898936170212766,1880
polarity,0.9095744680851063,1890
polarity,0.9029255319148937,1900
polarity,0.9069148936170213,1910
null_test,0.7925531914893617,1920
null_test,0.7819148936170213,1800
null_test,0.7958776595744681,1930
null_test,0.7925531914893617,1810
null_test,0.800531914893617,1940
null_test,0.7892287234042553,1820
null_test,0.7958776595744681,1950
null_test,0.7918882978723404,1830
null_test,0.7952127659574468,1960
null_test,0.7992021276595744,1840
null_test,0.7878989361702128,1970
null_test,0.7925531914893617,1850
null_test,0.7805851063829787,1980
null_test,0.8025265957446809,1860
null_test,0.785904255319149,1990
null_test,0.8011968085106383,1870
null_test,0.7978723404255319,1880
null_test,0.8045212765957447,1890
null_test,0.7972074468085106,1900
null_test,0.7985372340425532,1910
categorization,0.6888297872340425,1920
categorization,0.6196808510638298,1800
categorization,0.699468085106383,1930
categorization,0.6821808510638298,1810
categorization,0.6968085106382979,1940
categorization,0.6835106382978723,1820
categorization,0.6875,1950
categorization,0.6941489361702128,1830
categorization,0.6968085106382979,1960
categorization,0.6914893617021277,1840
categorization,0.6702127659574468,1970
categorization,0.6954787234042553,1850
categorization,0.6715425531914894,1980
categorization,0.6941489361702128,1860
categorization,0.6715425531914894,1990
categorization,0.7007978723404256,1870
categorization,0.7167553191489362,1880
categorization,0.7007978723404256,1890
categorization,0.714095744680851,1900
categorization,0.6914893617021277,1910
