year,instance,predicted_class,true_class,test
2009,safe,+sanctity,+care,categorization
2009,peace,-care,+care,categorization
2009,compassionate,-authority,+care,categorization
2009,compassion,-authority,+care,categorization
2009,sympathy,-authority,+care,categorization
2009,care,+loyalty,+care,categorization
2009,caring,-sanctity,+care,categorization
2009,protect,-loyalty,+care,categorization
2009,protector,-authority,+care,categorization
2009,protection,+fairness,+care,categorization
2009,shield,-authority,+care,categorization
2009,shelter,-sanctity,+care,categorization
2009,amity,-authority,+care,categorization
2009,secure,-fairness,+care,categorization
2009,benefit,-loyalty,+care,categorization
2009,defend,-fairness,+care,categorization
2009,defender,-authority,+care,categorization
2009,defence,-loyalty,+care,categorization
2009,guard,-authority,+care,categorization
2009,preserve,-fairness,+care,categorization
2009,fair,-loyalty,+fairness,categorization
2009,fairly,-sanctity,+fairness,categorization
2009,fairness,-authority,+fairness,categorization
2009,equal,+fairness,+fairness,categorization
2009,justice,+authority,+fairness,categorization
2009,justification,-fairness,+fairness,categorization
2009,justifies,-authority,+fairness,categorization
2009,justifiable,-authority,+fairness,categorization
2009,reciprocal,-authority,+fairness,categorization
2009,impartiality,-authority,+fairness,categorization
2009,impartial,-authority,+fairness,categorization
2009,rights,-care,+fairness,categorization
2009,equity,-loyalty,+fairness,categorization
2009,equivalent,-sanctity,+fairness,categorization
2009,tolerant,-authority,+fairness,categorization
2009,balance,-loyalty,+fairness,categorization
2009,homologous,-authority,+fairness,categorization
2009,reasonable,-loyalty,+fairness,categorization
2009,constant,-loyalty,+fairness,categorization
2009,honest,+sanctity,+fairness,categorization
2009,nation,-loyalty,+loyalty,categorization
2009,family,+loyalty,+loyalty,categorization
2009,families,+loyalty,+loyalty,categorization
2009,familial,-authority,+loyalty,categorization
2009,group,+loyalty,+loyalty,categorization
2009,loyal,-authority,+loyalty,categorization
2009,patriot,-authority,+loyalty,categorization
2009,communal,-authority,+loyalty,categorization
2009,community,+loyalty,+loyalty,categorization
2009,companion,-authority,+loyalty,categorization
2009,comrades,-authority,+loyalty,categorization
2009,collective,-loyalty,+loyalty,categorization
2009,joint,-loyalty,+loyalty,categorization
2009,unison,-authority,+loyalty,categorization
2009,unite,-authority,+loyalty,categorization
2009,fellow,+sanctity,+loyalty,categorization
2009,guild,-authority,+loyalty,categorization
2009,solidarity,-fairness,+loyalty,categorization
2009,devote,-authority,+loyalty,categorization
2009,member,+loyalty,+loyalty,categorization
2009,ally,-authority,+loyalty,categorization
2009,preserve,-fairness,+authority,categorization
2009,loyal,-authority,+authority,categorization
2009,obedience,+sanctity,+authority,categorization
2009,obey,+sanctity,+authority,categorization
2009,obedient,-authority,+authority,categorization
2009,duty,-loyalty,+authority,categorization
2009,law,+fairness,+authority,categorization
2009,lawful,-authority,+authority,categorization
2009,legality,-authority,+authority,categorization
2009,legal,-loyalty,+authority,categorization
2009,duties,-loyalty,+authority,categorization
2009,award,-fairness,+authority,categorization
2009,honor,+sanctity,+authority,categorization
2009,respect,+fairness,+authority,categorization
2009,respectful,-authority,+authority,categorization
2009,respected,-authority,+authority,categorization
2009,respects,-sanctity,+authority,categorization
2009,order,+authority,+authority,categorization
2009,father,+loyalty,+authority,categorization
2009,mother,+loyalty,+authority,categorization
2009,mothers,+sanctity,+authority,categorization
2009,tradition,+sanctity,+authority,categorization
2009,hierarchy,-fairness,+authority,categorization
2009,authority,+authority,+authority,categorization
2009,permit,-fairness,+authority,categorization
2009,permission,-loyalty,+authority,categorization
2009,rank,-fairness,+authority,categorization
2009,leader,-loyalty,+authority,categorization
2009,lead,-loyalty,+authority,categorization
2009,class,+loyalty,+authority,categorization
2009,bourgeoisie,-authority,+authority,categorization
2009,position,+authority,+authority,categorization
2009,compliance,-fairness,+authority,categorization
2009,command,+sanctity,+authority,categorization
2009,supremacy,-authority,+authority,categorization
2009,control,+loyalty,+authority,categorization
2009,submission,-authority,+authority,categorization
2009,submit,-fairness,+authority,categorization
2009,commit,-authority,+authority,categorization
2009,allegiance,-authority,+authority,categorization
2009,serve,-loyalty,+authority,categorization
2009,abide,-authority,+authority,categorization
2009,deference,-authority,+authority,categorization
2009,defer,-authority,+authority,categorization
2009,revered,-authority,+authority,categorization
2009,idol,-authority,+authority,categorization
2009,fear,+sanctity,+authority,categorization
2009,veneration,-authority,+authority,categorization
2009,comply,-fairness,+authority,categorization
2009,preserve,-fairness,+sanctity,categorization
2009,piety,-authority,+sanctity,categorization
2009,pious,-authority,+sanctity,categorization
2009,purity,-authority,+sanctity,categorization
2009,pure,+sanctity,+sanctity,categorization
2009,clean,-sanctity,+sanctity,categorization
2009,sacred,+sanctity,+sanctity,categorization
2009,chaste,-authority,+sanctity,categorization
2009,chastity,-authority,+sanctity,categorization
2009,holy,+sanctity,+sanctity,categorization
2009,holiness,-authority,+sanctity,categorization
2009,saint,+sanctity,+sanctity,categorization
2009,wholesome,-authority,+sanctity,categorization
2009,celibacy,-authority,+sanctity,categorization
2009,virgin,+sanctity,+sanctity,categorization
2009,virgins,-authority,+sanctity,categorization
2009,integrity,-fairness,+sanctity,categorization
2009,modesty,-authority,+sanctity,categorization
2009,abstinence,-authority,+sanctity,categorization
2009,abstain,-authority,+sanctity,categorization
2009,upright,-authority,+sanctity,categorization
2009,maiden,-authority,+sanctity,categorization
2009,virtuous,-authority,+sanctity,categorization
2009,refined,-authority,+sanctity,categorization
2009,decent,-authority,+sanctity,categorization
2009,decency,-authority,+sanctity,categorization
2009,immaculate,-authority,+sanctity,categorization
2009,innocent,-fairness,+sanctity,categorization
2009,church,+loyalty,+sanctity,categorization
2009,harm,-sanctity,-care,categorization
2009,injure,-authority,-care,categorization
2009,injurious,-authority,-care,categorization
2009,suffer,-sanctity,-care,categorization
2009,war,+fairness,-care,categorization
2009,wars,-care,-care,categorization
2009,warlike,-authority,-care,categorization
2009,warring,-authority,-care,categorization
2009,fight,+sanctity,-care,categorization
2009,battle,+sanctity,-care,categorization
2009,violence,-fairness,-care,categorization
2009,violent,-fairness,-care,categorization
2009,hurt,-authority,-care,categorization
2009,kill,+sanctity,-care,categorization
2009,kills,-authority,-care,categorization
2009,killed,+sanctity,-care,categorization
2009,killing,-sanctity,-care,categorization
2009,endanger,-authority,-care,categorization
2009,cruel,-authority,-care,categorization
2009,brutal,-authority,-care,categorization
