year,instance,predicted_class,true_class,test
1990,sympathy,+care,+care,categorization
1990,protect,+care,+care,categorization
1990,empathize,+care,+care,categorization
1990,care,+care,+care,categorization
1990,sympathise,-sanctity,+care,categorization
1990,empathy,+care,+care,categorization
1990,benefit,+fairness,+care,categorization
1990,protection,+care,+care,categorization
1990,safe,+care,+care,categorization
1990,secure,+care,+care,categorization
1990,defence,+loyalty,+care,categorization
1990,defend,+care,+care,categorization
1990,defender,+loyalty,+care,categorization
1990,shelter,+care,+care,categorization
1990,peace,+loyalty,+care,categorization
1990,protector,+care,+care,categorization
1990,compassionate,+sanctity,+care,categorization
1990,guard,-care,+care,categorization
1990,procurement,-fairness,+care,categorization
1990,amity,+loyalty,+care,categorization
1990,protective,+care,+care,categorization
1990,caring,+care,+care,categorization
1990,compassion,+care,+care,categorization
1990,sympathetic,+loyalty,+care,categorization
1990,pacify,-sanctity,+care,categorization
1990,sympathize,+care,+care,categorization
1990,shield,+care,+care,categorization
1990,fairness,+fairness,+fairness,categorization
1990,tolerant,+care,+fairness,categorization
1990,equity,+fairness,+fairness,categorization
1990,reasonable,+fairness,+fairness,categorization
1990,unprejudiced,-authority,+fairness,categorization
1990,fairly,+fairness,+fairness,categorization
1990,unbiased,+fairness,+fairness,categorization
1990,equivalent,+fairness,+fairness,categorization
1990,balance,+fairness,+fairness,categorization
1990,fair,+fairness,+fairness,categorization
1990,justice,+fairness,+fairness,categorization
1990,equable,-sanctity,+fairness,categorization
1990,reciprocal,+fairness,+fairness,categorization
1990,justification,-fairness,+fairness,categorization
1990,egalitarian,+loyalty,+fairness,categorization
1990,impartial,+fairness,+fairness,categorization
1990,constant,+fairness,+fairness,categorization
1990,evenness,-sanctity,+fairness,categorization
1990,justifiable,+fairness,+fairness,categorization
1990,homologous,+loyalty,+fairness,categorization
1990,rights,+care,+fairness,categorization
1990,justness,-sanctity,+fairness,categorization
1990,impartiality,+fairness,+fairness,categorization
1990,justifies,-fairness,+fairness,categorization
1990,indifference,+fairness,+fairness,categorization
1990,equal,+fairness,+fairness,categorization
1990,familial,+loyalty,+loyalty,categorization
1990,communist,+loyalty,+loyalty,categorization
1990,patriot,-authority,+loyalty,categorization
1990,fellow,+loyalty,+loyalty,categorization
1990,family,+loyalty,+loyalty,categorization
1990,joint,+loyalty,+loyalty,categorization
1990,group,+loyalty,+loyalty,categorization
1990,together,+loyalty,+loyalty,categorization
1990,insider,+fairness,+loyalty,categorization
1990,nation,+loyalty,+loyalty,categorization
1990,clique,-fairness,+loyalty,categorization
1990,companionship,+care,+loyalty,categorization
1990,collective,+loyalty,+loyalty,categorization
1990,devote,+authority,+loyalty,categorization
1990,ally,+loyalty,+loyalty,categorization
1990,communism,-loyalty,+loyalty,categorization
1990,cadre,+loyalty,+loyalty,categorization
1990,companion,+loyalty,+loyalty,categorization
1990,member,+loyalty,+loyalty,categorization
1990,homeland,+loyalty,+loyalty,categorization
1990,comrade,-sanctity,+loyalty,categorization
1990,unite,-authority,+loyalty,categorization
1990,solidarity,+loyalty,+loyalty,categorization
1990,families,+loyalty,+loyalty,categorization
1990,commune,+loyalty,+loyalty,categorization
1990,guild,+loyalty,+loyalty,categorization
1990,community,+loyalty,+loyalty,categorization
1990,cohort,+loyalty,+loyalty,categorization
1990,unison,+authority,+loyalty,categorization
1990,communal,+loyalty,+loyalty,categorization
1990,respected,+loyalty,+authority,categorization
1990,hierarchy,+authority,+authority,categorization
1990,fatherly,-sanctity,+authority,categorization
1990,traditional,+authority,+authority,categorization
1990,revere,+sanctity,+authority,categorization
1990,compliant,-sanctity,+authority,categorization
1990,motherly,-sanctity,+authority,categorization
1990,venerate,-sanctity,+authority,categorization
1990,deference,+authority,+authority,categorization
1990,permission,+authority,+authority,categorization
1990,control,+authority,+authority,categorization
1990,abide,+authority,+authority,categorization
1990,hierarchical,+authority,+authority,categorization
1990,commit,-care,+authority,categorization
1990,leader,+loyalty,+authority,categorization
1990,class,+loyalty,+authority,categorization
1990,authority,+authority,+authority,categorization
1990,respects,+authority,+authority,categorization
1990,obedient,+authority,+authority,categorization
1990,tradition,+loyalty,+authority,categorization
1990,respectful,+care,+authority,categorization
1990,status,+authority,+authority,categorization
1990,caste,+loyalty,+authority,categorization
1990,duties,+authority,+authority,categorization
1990,rank,+authority,+authority,categorization
1990,defer,+authority,+authority,categorization
1990,serve,+care,+authority,categorization
1990,leadership,+loyalty,+authority,categorization
1990,permit,+authority,+authority,categorization
1990,obedience,+authority,+authority,categorization
1990,position,+authority,+authority,categorization
1990,mothering,-loyalty,+authority,categorization
1990,submit,+authority,+authority,categorization
1990,award,+authority,+authority,categorization
1990,mother,+sanctity,+authority,categorization
1990,respect,+fairness,+authority,categorization
1990,obey,+authority,+authority,categorization
1990,mothers,+loyalty,+authority,categorization
1990,compliance,+authority,+authority,categorization
1990,reverence,+sanctity,+authority,categorization
1990,allegiance,+authority,+authority,categorization
1990,command,+authority,+authority,categorization
1990,supremacy,+authority,+authority,categorization
1990,law,+authority,+authority,categorization
1990,duty,+authority,+authority,categorization
1990,order,+authority,+authority,categorization
1990,bourgeoisie,+loyalty,+authority,categorization
1990,submission,+authority,+authority,categorization
