year,test,instance,true_class,predicted_class
1990,categorization,serve,+authority,+care
1990,categorization,respect,+authority,+fairness
1990,categorization,class,+authority,+loyalty
1990,categorization,leader,+authority,+loyalty
1990,categorization,mothers,+authority,+loyalty
1990,categorization,respected,+authority,+loyalty
1990,categorization,mother,+authority,+sanctity
1990,categorization,reverence,+authority,+sanctity
1990,categorization,tradition,+authority,+sanctity
1990,categorization,commit,+authority,-care
1990,categorization,lead,+authority,-care
1990,categorization,benefit,+care,+fairness
1990,categorization,compassion,+care,+sanctity
1990,categorization,compassionate,+care,+sanctity
1990,categorization,peace,+care,+sanctity
1990,categorization,guard,+care,-loyalty
1990,categorization,sympathy,+care,-sanctity
1990,categorization,rights,+fairness,+care
1990,categorization,justness,+fairness,-sanctity
1990,categorization,devote,+loyalty,+authority
1990,categorization,patriot,+loyalty,+sanctity
1990,categorization,unison,+loyalty,+sanctity
1990,categorization,clean,+sanctity,+care
1990,categorization,innocent,+sanctity,-care
1990,categorization,abstain,+sanctity,-fairness
1990,categorization,sanctify,+sanctity,-sanctity
1990,categorization,refuse,-authority,+authority
1990,categorization,alienate,-authority,+care
1990,categorization,obstruct,-authority,-care
1990,categorization,illegal,-authority,-fairness
1990,categorization,disobedient,-authority,-sanctity
1990,categorization,lawless,-authority,-sanctity
1990,categorization,seditious,-authority,-sanctity
1990,categorization,detriment,-care,+care
1990,categorization,impair,-care,+fairness
1990,categorization,annihilate,-care,-authority
1990,categorization,brutal,-care,-authority
1990,categorization,violence,-care,-authority
1990,categorization,wars,-care,-authority
1990,categorization,abuse,-care,-fairness
1990,categorization,kills,-care,-sanctity
1990,categorization,wound,-care,-sanctity
1990,categorization,preference,-fairness,+authority
1990,categorization,bias,-fairness,+fairness
1990,categorization,exclusive,-fairness,+fairness
1990,categorization,unjust,-fairness,-authority
1990,categorization,disproportion,-fairness,-sanctity
1990,categorization,injustice,-fairness,-sanctity
1990,categorization,foreign,-loyalty,+fairness
1990,categorization,individual,-loyalty,+loyalty
1990,categorization,spy,-loyalty,-authority
1990,categorization,terror,-loyalty,-authority
1990,categorization,deception,-loyalty,-care
1990,categorization,enemy,-loyalty,-care
1990,categorization,deceive,-loyalty,-sanctity
1990,categorization,sick,-sanctity,+care
1990,categorization,profane,-sanctity,+sanctity
1990,categorization,stain,-sanctity,+sanctity
1990,categorization,whore,-sanctity,+sanctity
1990,categorization,disease,-sanctity,-care
1990,categorization,repulse,-sanctity,-care
1990,categorization,gross,-sanctity,-fairness
1990,null_test,amity,moral,neutral
1990,null_test,award,moral,neutral
1990,null_test,balance,moral,neutral
1990,null_test,bias,moral,neutral
1990,null_test,church,moral,neutral
1990,null_test,collective,moral,neutral
1990,null_test,command,moral,neutral
1990,null_test,companion,moral,neutral
1990,null_test,constant,moral,neutral
1990,null_test,dirt,moral,neutral
1990,null_test,disproportion,moral,neutral
1990,null_test,equal,moral,neutral
1990,null_test,equity,moral,neutral
1990,null_test,equivalent,moral,neutral
1990,null_test,exclusive,moral,neutral
1990,null_test,fairly,moral,neutral
1990,null_test,foreign,moral,neutral
1990,null_test,gross,moral,neutral
1990,null_test,group,moral,neutral
1990,null_test,hierarchy,moral,neutral
1990,null_test,joint,moral,neutral
1990,null_test,lead,moral,neutral
1990,null_test,member,moral,neutral
1990,null_test,position,moral,neutral
1990,null_test,preference,moral,neutral
1990,null_test,profligate,moral,neutral
1990,null_test,rank,moral,neutral
1990,null_test,reciprocal,moral,neutral
1990,null_test,refined,moral,neutral
1990,null_test,saint,moral,neutral
1990,null_test,serve,moral,neutral
1990,null_test,together,moral,neutral
1990,null_test,tradition,moral,neutral
1990,null_test,virgin,moral,neutral
1990,null_test,brazen,neutral,moral
1990,null_test,capricious,neutral,moral
1990,null_test,circumstance,neutral,moral
1990,null_test,customary,neutral,moral
1990,null_test,forge,neutral,moral
1990,null_test,induce,neutral,moral
1990,null_test,invisible,neutral,moral
1990,null_test,multitude,neutral,moral
1990,null_test,ought,neutral,moral
1990,null_test,pagan,neutral,moral
1990,null_test,piety,neutral,moral
1990,null_test,preposterous,neutral,moral
1990,null_test,priesthood,neutral,moral
1990,null_test,principle,neutral,moral
1990,null_test,repose,neutral,moral
1990,null_test,teeth,neutral,moral
1990,null_test,tempt,neutral,moral
1990,polarity,alienate,neg,pos
1990,polarity,defiance,neg,pos
1990,polarity,detriment,neg,pos
1990,polarity,disobedient,neg,pos
1990,polarity,dissent,neg,pos
1990,polarity,exclusion,neg,pos
1990,polarity,exclusive,neg,pos
1990,polarity,foreign,neg,pos
1990,polarity,individual,neg,pos
1990,polarity,preference,neg,pos
1990,polarity,prostitute,neg,pos
1990,polarity,refuse,neg,pos
1990,polarity,sick,neg,pos
1990,polarity,unequal,neg,pos
1990,polarity,whore,neg,pos
1990,polarity,abstain,pos,neg
1990,polarity,commit,pos,neg
1990,polarity,indifference,pos,neg
1990,polarity,innocent,pos,neg
1990,polarity,justifiable,pos,neg
1990,polarity,justifies,pos,neg
1990,polarity,justness,pos,neg
1990,polarity,lead,pos,neg
1990,polarity,sanctify,pos,neg
1990,polarity,shield,pos,neg
1990,polarity,sympathy,pos,neg
1990,polarity,virgins,pos,neg
