test,average_accuracy,year
categorization,0.7307692307692307,1920
categorization,0.6778846153846154,1800
categorization,0.7019230769230769,1930
categorization,0.6826923076923077,1810
categorization,0.6923076923076923,1940
categorization,0.6730769230769231,1820
categorization,0.7115384615384616,1950
categorization,0.6826923076923077,1830
categorization,0.7163461538461539,1960
categorization,0.6971153846153846,1840
categorization,0.7067307692307693,1970
categorization,0.6682692307692307,1850
categorization,0.7115384615384616,1980
categorization,0.6923076923076923,1860
categorization,0.7019230769230769,1990
categorization,0.6971153846153846,1870
categorization,0.7115384615384616,1880
categorization,0.7307692307692307,1890
categorization,0.7403846153846154,1900
categorization,0.7307692307692307,1910
null_test,0.8363636363636363,1920
null_test,0.8109090909090909,1800
null_test,0.8254545454545454,1930
null_test,0.8254545454545454,1810
null_test,0.8145454545454546,1940
null_test,0.8254545454545454,1820
null_test,0.8218181818181818,1950
null_test,0.8290909090909091,1830
null_test,0.8036363636363636,1960
null_test,0.8327272727272728,1840
null_test,0.8109090909090909,1970
null_test,0.8363636363636363,1850
null_test,0.8109090909090909,1980
null_test,0.8436363636363636,1860
null_test,0.8145454545454546,1990
null_test,0.8363636363636363,1870
null_test,0.8327272727272728,1880
null_test,0.8436363636363636,1890
null_test,0.8290909090909091,1900
null_test,0.8254545454545454,1910
polarity,0.9038461538461539,1920
polarity,0.8894230769230769,1800
polarity,0.8942307692307693,1930
polarity,0.8653846153846154,1810
polarity,0.8990384615384616,1940
polarity,0.8701923076923077,1820
polarity,0.875,1950
polarity,0.8990384615384616,1830
polarity,0.8701923076923077,1960
polarity,0.8798076923076923,1840
polarity,0.8846153846153846,1970
polarity,0.8798076923076923,1850
polarity,0.8894230769230769,1980
polarity,0.8894230769230769,1860
polarity,0.8701923076923077,1990
polarity,0.8894230769230769,1870
polarity,0.9038461538461539,1880
polarity,0.9230769230769231,1890
polarity,0.9230769230769231,1900
polarity,0.8942307692307693,1910
