test,average_accuracy,year
null_test,0.8072727272727273,1920
null_test,0.8181818181818182,1800
null_test,0.8327272727272728,1930
null_test,0.7818181818181819,1810
null_test,0.8072727272727273,1940
null_test,0.8072727272727273,1820
null_test,0.7927272727272727,1950
null_test,0.8145454545454546,1830
null_test,0.8290909090909091,1960
null_test,0.8218181818181818,1840
null_test,0.8,1970
null_test,0.850909090909091,1850
null_test,0.8327272727272728,1980
null_test,0.8109090909090909,1860
null_test,0.8072727272727273,1990
null_test,0.8472727272727273,1870
null_test,0.8181818181818182,1880
null_test,0.8581818181818182,1890
null_test,0.8290909090909091,1900
null_test,0.8072727272727273,1910
categorization,0.7019230769230769,1920
categorization,0.6490384615384616,1800
categorization,0.6634615384615384,1930
categorization,0.6538461538461539,1810
categorization,0.6826923076923077,1940
categorization,0.6586538461538461,1820
categorization,0.6490384615384616,1950
categorization,0.6682692307692307,1830
categorization,0.7259615384615384,1960
categorization,0.7163461538461539,1840
categorization,0.6682692307692307,1970
categorization,0.6875,1850
categorization,0.7115384615384616,1980
categorization,0.6346153846153846,1860
categorization,0.6682692307692307,1990
categorization,0.7067307692307693,1870
categorization,0.6875,1880
categorization,0.7115384615384616,1890
categorization,0.7355769230769231,1900
categorization,0.6634615384615384,1910
polarity,0.9134615384615384,1920
polarity,0.8701923076923077,1800
polarity,0.9182692307692307,1930
polarity,0.8605769230769231,1810
polarity,0.9086538461538461,1940
polarity,0.8461538461538461,1820
polarity,0.875,1950
polarity,0.8653846153846154,1830
polarity,0.9182692307692307,1960
polarity,0.8798076923076923,1840
polarity,0.8798076923076923,1970
polarity,0.8894230769230769,1850
polarity,0.9086538461538461,1980
polarity,0.9086538461538461,1860
polarity,0.8701923076923077,1990
polarity,0.8990384615384616,1870
polarity,0.8846153846153846,1880
polarity,0.9230769230769231,1890
polarity,0.9086538461538461,1900
polarity,0.9134615384615384,1910
