test,average_accuracy,year
categorization,0.7198275862068966,1920
categorization,0.6810344827586207,1800
categorization,0.7198275862068966,1930
categorization,0.7198275862068966,1810
categorization,0.6896551724137931,1940
categorization,0.6896551724137931,1820
categorization,0.7155172413793104,1950
categorization,0.6982758620689655,1830
categorization,0.7112068965517241,1960
categorization,0.7068965517241379,1840
categorization,0.6982758620689655,1970
categorization,0.6853448275862069,1850
categorization,0.7112068965517241,1980
categorization,0.7155172413793104,1860
categorization,0.6939655172413793,1990
categorization,0.7112068965517241,1870
categorization,0.7112068965517241,1880
categorization,0.75,1890
categorization,0.7370689655172413,1900
categorization,0.7413793103448276,1910
null_test,0.8211206896551724,1920
null_test,0.7931034482758621,1800
null_test,0.8168103448275862,1930
null_test,0.8211206896551724,1810
null_test,0.8297413793103449,1940
null_test,0.8146551724137931,1820
null_test,0.8168103448275862,1950
null_test,0.8168103448275862,1830
null_test,0.8081896551724138,1960
null_test,0.8125,1840
null_test,0.8125,1970
null_test,0.8146551724137931,1850
null_test,0.8125,1980
null_test,0.8125,1860
null_test,0.8103448275862069,1990
null_test,0.8189655172413793,1870
null_test,0.8275862068965517,1880
null_test,0.8211206896551724,1890
null_test,0.8189655172413793,1900
null_test,0.8038793103448276,1910
polarity,0.9008620689655172,1920
polarity,0.8879310344827587,1800
polarity,0.896551724137931,1930
polarity,0.8706896551724138,1810
polarity,0.896551724137931,1940
polarity,0.875,1820
polarity,0.8922413793103449,1950
polarity,0.8922413793103449,1830
polarity,0.8793103448275862,1960
polarity,0.875,1840
polarity,0.8793103448275862,1970
polarity,0.8879310344827587,1850
polarity,0.8879310344827587,1980
polarity,0.9008620689655172,1860
polarity,0.875,1990
polarity,0.9094827586206896,1870
polarity,0.9094827586206896,1880
polarity,0.9267241379310345,1890
polarity,0.9137931034482759,1900
polarity,0.9094827586206896,1910
