test,average_accuracy,year
polarity,0.8780487804878049,1920
polarity,0.8904761904761904,1800
polarity,0.8571428571428571,1930
polarity,0.8711111111111111,1810
polarity,0.851063829787234,1940
polarity,0.8790322580645161,1820
polarity,0.8614864864864865,1950
polarity,0.8858267716535433,1830
polarity,0.8643533123028391,1960
polarity,0.89272030651341,1840
polarity,0.8589341692789969,1970
polarity,0.8860294117647058,1850
polarity,0.838006230529595,1980
polarity,0.8814814814814815,1860
polarity,0.8103975535168195,1990
polarity,0.8856088560885609,1870
polarity,0.8850174216027874,1880
polarity,0.8900343642611683,1890
polarity,0.8851351351351351,1900
polarity,0.8923611111111112,1910
categorization,0.6968641114982579,1920
categorization,0.680952380952381,1800
categorization,0.6376306620209059,1930
categorization,0.6844444444444444,1810
categorization,0.6418439716312057,1940
categorization,0.7016129032258065,1820
categorization,0.6554054054054054,1950
categorization,0.6417322834645669,1830
categorization,0.6277602523659306,1960
categorization,0.6781609195402298,1840
categorization,0.6269592476489029,1970
categorization,0.6580882352941176,1850
categorization,0.6199376947040498,1980
categorization,0.6777777777777778,1860
categorization,0.5963302752293578,1990
categorization,0.6642066420664207,1870
categorization,0.6585365853658537,1880
categorization,0.697594501718213,1890
categorization,0.6858108108108109,1900
categorization,0.6631944444444444,1910
null_test,0.837772397094431,1920
null_test,0.8093525179856115,1800
null_test,0.8312958435207825,1930
null_test,0.8148148148148148,1810
null_test,0.8349753694581281,1940
null_test,0.8258258258258259,1820
null_test,0.8290398126463701,1950
null_test,0.8533724340175953,1830
null_test,0.8193832599118943,1960
null_test,0.8380681818181818,1840
null_test,0.8156182212581344,1970
null_test,0.8235294117647058,1850
null_test,0.7787234042553192,1980
null_test,0.8324324324324325,1860
null_test,0.7761506276150628,1990
null_test,0.8552278820375335,1870
null_test,0.8425,1880
null_test,0.8492822966507177,1890
null_test,0.8356807511737089,1900
null_test,0.8240963855421687,1910
