test,average_accuracy,year
,,1990
,,1960
,,1970
,,1980
,,1950
null_test,0.7981132075471699,1990
null_test,0.809433962264151,1960
null_test,0.7924528301886793,1970
null_test,0.7830188679245284,1980
null_test,0.717948717948718,1950
polarity,0.8830188679245283,1990
polarity,0.9018867924528302,1960
polarity,0.8981132075471698,1970
polarity,0.8981132075471698,1980
polarity,,1950
categorization,0.6188679245283019,1990
categorization,0.6377358490566037,1960
categorization,0.630188679245283,1970
categorization,0.6566037735849056,1980
categorization,0.6339622641509434,1950
